time,mouse_movement,mouse_clicks
0,429.3244215,3
1,684.1603405,4.5
2,855.0537233,4.25
3,790.2275407,4.125
4,1040.014752,7.0625
5,973.7792906,7.4375
6,812.158426,8.625
7,1367.961309,6.25
8,1438.292649,4.0625
9,951.752474,2.875
10,1488.094741,3.3125
11,1468.930466,5.5
12,1445.876712,4.6875
13,1532.736752,5.3125
14,1300.962552,6.625
15,1188.675619,7.25
16,1048.5379,5.5
17,1136.865965,6.6875
18,1244.824203,6.25
19,1233.525059,6
20,1277.007241,5.875
21,1281.062509,5.875
22,1088.4102,6.8125
23,1330.293833,7.3125
24,1571.449889,5.5625
25,1252.761567,6.6875
26,1320.519017,6.25
27,1222.471989,6
28,1448.447326,6.875
29,1117.155441,6.375
30,2392.258228,5.0625
31,1929.612014,3.4375
32,1752.277272,5.625
33,1167.062254,5.6875
34,1350.018237,5.75
35,1065.841922,4.8125
36,1520.597727,5.375
37,1462.222292,5.5625
38,1362.033964,5.6875
39,1421.607328,4.75
40,1693.433378,5.3125
41,1303.396805,4.5625
42,1416.966935,4.1875
43,1229.267396,6
44,1625.305262,6.9375
45,1744.630512,7.375
46,1036.677253,6.625
47,1530.59163,4.25
48,1335.655232,7
49,1373.805754,8.375
50,1506.177095,5.0625
51,1496.76156,5.4375
52,2230.793409,5.6875
53,2425.859428,4.6875
54,2395.909603,3.1875
55,2522.287858,4.5625
56,2111.824493,4.1875
57,1594.520615,5
58,910.8137344,3.4375
59,1291.193047,3.6875
60,1460.098071,4.75
61,1478.744737,4.3125
62,983.0180105,3.0625
63,664.361275,7.5
64,404.9071347,9.6875
65,825.8211249,8.75
66,1128.135279,8.3125
67,1087.509234,5.125
68,983.3496881,5.375
69,1339.633113,6.5
70,1311.893561,6.125
71,1213.014057,6.9375
72,1755.294159,5.4375
73,2167.117778,3.625
74,2017.918738,2.6875
75,1311.835245,2.25
76,1131.903458,5
77,942.3866809,3.4375
78,691.8039076,3.6875
79,513.1339025,7.8125
80,299.8694247,10.875
81,632.0559454,10.3125
82,594.1418093,6.125
83,801.0809745,6
84,688.120559,6.8125
85,718.7800019,6.1875
86,1033.855823,5.9375
87,1245.37682,7.9375
88,1346.440677,6.875
89,1180.562903,7.3125
90,1501.642088,4.5625
91,1333.066982,7.1875
92,1140.399008,6.4375
93,986.4328094,5.125
94,1743.145367,2.4375
95,1353.46365,5.1875
96,1469.413076,4.4375
97,911.0559572,5.125
98,1862.884254,4.5
99,1870.808707,2.25
100,1369.217642,3
101,1325.04632,3.4375
102,937.2123126,4.625
103,769.7377109,6.25
104,702.0243651,3.125
105,739.5040985,2.5
106,653.2330482,1.1875
107,901.1940559,2.5
108,780.3046567,1.125
109,877.0508553,0.5625
110,1119.718657,0.25
111,1179.93906,1.125
112,1263.327612,2.5
113,663.851428,4.25
114,1501.491584,4.125
115,1923.874592,5.0625
116,1103.883493,5.5
117,583.8149113,6.6875
118,437.2969893,5.25
119,392.6748574,5.5625
120,434.7976789,4.6875
121,438.5141665,4.25
122,249.0709496,4
123,983.2269302,1.9375
124,847.0538325,5.875
125,961.2996479,4.875
126,1459.986728,7.375
127,2721.424755,5.625
128,2442.353542,2.8125
129,1539.074444,1.25
130,935.3325479,1.5625
131,869.9375032,3.625
132,570.6631906,1.75
133,416.8294009,0.875
134,766.5205087,1.4375
135,465.7882057,4.6875
136,383.7440893,5.25
137,1837.740751,2.625
138,1487.515724,4.3125
139,1070.517074,2.125
140,702.1283714,0.9375
141,532.2408864,0.375
142,419.8424947,0.1875
143,546.6950263,0
144,453.2797007,0
145,337.88877,0
146,603.9561761,1
147,459.1172883,2.5
148,1634.391952,1.25
149,1026.022493,5.625
150,744.6686768,5.8125
151,610.3175626,7.875
152,878.4221054,5.875
153,593.803758,6.9375
154,449.9888112,10.3125
155,772.240224,8.0625
156,947.8393579,9.875
157,776.3644001,8.875
158,945.0386569,8.3125
159,2150.88045,5.9375
160,1274.143538,8.875
161,784.939755,7.25
162,505.6602919,7.5
163,965.5921748,4.625
164,591.7242051,5.25
165,633.0731093,4.4375
166,823.5387683,4.125
167,1704.159654,4.9375
168,1599.503286,5.4375
169,1917.270294,4.625
170,2885.551502,3.25
171,2610.407759,4.5625
172,1985.120074,4.1875
173,1070.447231,5
174,1154.934897,6.4375
175,1006.937173,6.1875
176,1394.799847,7
177,1911.265204,5.4375
178,1342.247327,7.625
179,1367.889023,6.6875
180,1795.208144,5.25
181,1520.024805,6.5
182,1075.034916,5.1875
183,963.438478,6.4375
184,1262.227211,6.125
185,1093.811458,6
186,1889.733452,2.875
187,5014.97512,3.375
188,2741.35226,5.5625
189,1844.890558,6.6875
190,1012.128439,8.25
191,1824.913713,7.125
192,1222.445364,5.5
193,776.3945736,7.625
194,958.0075304,4.6875
195,1261.585948,5.1875
196,736.7035364,6.5
197,877.4026938,5.1875
198,640.8248839,7.4375
199,389.3609093,9.6875
200,203.1219854,9.75
201,147.7501747,9.75
202,70.53997564,8.8125
203,73.61319895,10.25
204,142.3061845,9.9375
205,1055.932403,8.8125
206,682.9758397,11.25
207,442.3243105,12.5
208,1017.125346,9.0625
209,916.0091891,5.375
210,857.5020218,2.5625
211,982.8208968,5.0625
212,1066.12923,3.3125
213,584.8038418,3.5625
214,402.7701586,3.75
215,246.4233605,3.875
216,189.4009228,4.8125
217,752.4636409,6.375
218,607.7063514,7.125
219,704.9943873,8.5
220,727.1388082,8.1875
221,688.0678971,5
222,1124.348881,4.375
223,1557.11455,4.0625
224,1310.586188,2.875
225,1304.528066,2.3125
226,1087.895908,4.125
227,1087.161014,3
228,549.2602401,1.4375
229,309.2655713,0.6875
230,174.976547,0.3125
231,73.55533134,0.0625
232,19.01960678,0
233,234.6103835,0
234,1013.159152,0
235,976.6381339,0
236,805.2358787,0
237,929.0596184,0
238,750.3560153,0
239,1398.529365,0
240,832.7326493,0
241,828.8886242,0
242,882.6232204,1
243,726.4342774,0.5
244,650.6481286,1.25
245,548.8493165,0.625
246,998.9319729,0.3125
247,1010.409466,0.125
248,615.0796853,1.0625
249,540.4719946,2.5
250,1292.291143,4.25
251,1434.613851,5.125
252,997.9237673,7.5625
253,1070.204179,6.75
254,2460.193215,8.3125
255,1768.833046,4.0625
256,1526.778406,1.9375
257,1008.762071,0.8125
258,617.0702876,0.3125
259,419.9662739,0
260,472.7198693,0
261,298.0499734,0
262,642.3313168,0
263,635.0562549,0
264,958.356375,0
265,544.6527873,0
266,965.9315163,0
267,1294.954515,0
268,662.9547952,0
269,1759.849883,0
270,2274.613458,2
271,1616.615495,4
272,903.5857184,2
273,922.5519471,1
274,1709.796551,1.5
275,2377.761769,0.6875
276,1281.950539,0.25
277,645.1895779,0.125
278,802.2023795,2.0625
279,620.268286,4
280,270.1803927,6
281,1521.512597,6
282,917.8200071,7
283,552.1536772,3.4375
284,1001.337901,3.625
285,1891.813433,3.6875
286,2331.100532,2.75
287,1590.679465,6.25
288,1061.061485,4.125
289,896.8306926,4
290,662.6509669,4.9375
291,939.6556598,6.4375
292,721.1121954,6.0625
293,1174.583142,8
294,1054.938901,7.9375
295,711.0431903,7.875
296,736.90152,7.8125
297,1323.081551,7.8125
298,1251.590288,5.75
299,1275.465731,5.75
300,1814.880786,6.75
301,1507.948024,5.25
302,910.4396301,4.5
303,918.7998962,4.1875
304,825.4403276,7
305,1305.377483,4.375
306,1472.369659,6.125
307,1214.912502,6
308,911.120787,5.9375
309,1426.440349,5.8125
310,2361.419972,6.875
311,1334.597058,7.3125
312,1100.735081,9.5625
313,765.1334874,9.6875
314,1686.675725,5.75
315,1767.825562,4.75
316,1374.13659,5.25
317,1274.413688,7.4375
318,1494.128873,7.5625
319,1099.803064,8.75
320,1109.759912,6.3125
321,1353.614985,8.0625
322,1186.29854,6.875
323,1271.132267,7.3125
324,1153.291154,8.5
325,1171.907667,5.1875
326,792.2365272,8.4375
327,1117.727082,7.125
328,983.8987593,6.4375
329,1018.667323,7.0625
330,815.1914718,7.5
331,702.9644746,6.5625
332,774.0619088,6.1875
333,544.7520577,7
334,1052.606978,5.375
335,1080.653446,2.5625
336,1807.390244,4.1875
337,1349.442844,4
338,1253.056401,3.875
339,989.3344523,2.875
340,1002.808133,2.4375
341,1225.623324,5.125
342,1936.349628,4.5
343,2304.118776,5.1875
344,1347.009594,3.5625
345,870.1611152,6.75
346,947.0848573,3.25
347,495.5613938,1.5625
348,353.0187774,0.6875
349,302.2424711,4.3125
350,999.4105286,6
351,1727.855346,7
352,1378.981205,5.5
353,1073.668276,2.75
354,2706.948351,1.25
355,2159.494702,4.5
356,1221.957036,7.125
357,2254.339519,3.5
358,1377.06367,6.75
359,1020.987311,5.375
360,705.5407194,6.5625
361,612.1995163,10.125
362,948.6764381,8.0625
363,1103.785186,4.875
364,789.5357006,4.375
365,830.7589041,2.0625
366,806.3416902,6.8125
367,630.1190295,6.3125
368,636.2413625,4.125
369,380.7525893,5
370,1718.038136,3.5
371,1723.605028,4.5625
372,1483.996916,5.1875
373,2254.397325,2.5625
374,1499.945111,1.1875
375,724.8006039,0.5625
376,360.9921018,0.1875
377,436.6334546,0
378,243.2064308,0
379,274.9211486,2
380,547.3060286,5
381,553.9294427,4.5
382,439.4873632,2.25
383,389.9212153,1.125
384,492.4231543,0.5
385,1812.080091,0.125
386,2243.184467,1
387,1398.267129,1.5
388,863.372147,0.75
389,424.2292019,4.375
390,837.0758734,6.1875
391,989.0131282,3.0625
392,1459.749787,2.5
393,2100.802821,3.25
394,2384.036868,3.5
395,1871.754562,5.625
396,1207.35544,6.8125
397,1096.168641,7.375
398,2329.996841,5.625
399,1741.326933,2.75
400,1534.471173,1.25
401,1258.931017,0.5
402,828.149703,2.125
403,949.8496323,4
404,1925.922567,6
405,1722.60682,3
406,933.8790174,1.5
407,2609.755621,0.6875
408,1377.36494,0.25
409,1100.626415,1
410,697.3042358,5.5
411,1427.204953,6.75
412,714.9147684,4.375
413,894.180117,3.1875
414,823.0154206,1.5625
415,1071.16243,0.625
416,610.5826991,5.1875
417,551.1664145,6.5625
418,1575.519229,5.25
419,888.2486254,2.625
420,603.5816966,4.3125
421,1211.155657,5
422,1396.984391,3.375
423,1718.79068,2.625
424,3506.008614,3.3125
425,2720.434471,2.5625
426,1652.166741,6.1875
427,1047.3543,6.0625
428,776.3085451,7
429,1129.205046,6.4375
430,1048.924258,5.1875
431,1202.259482,3.4375
432,770.055442,6.625
433,675.606935,9.1875
434,797.6026542,5.5
435,767.1109714,4.6875
436,599.196919,3.3125
437,760.5100239,4.5
438,755.0648154,4.0625
439,742.8957192,6
440,699.689823,7.9375
441,949.2759422,6.9375
442,1164.386638,7.375
443,1191.432283,6.625
444,1665.542953,6.1875
445,1577.951515,4.9375
446,1024.431794,2.375
447,495.2057523,1.0625
448,228.188993,0.4375
449,249.7728215,2.125
450,469.9702657,4
451,996.848511,5
452,757.6101992,4.5
453,976.2264725,8.25
454,1642.645832,7.0625
455,1754.91937,6.4375
456,2936.415533,8.125
457,2794.264195,8
458,2382.943575,6.8125
459,1871.376611,5.3125
460,2299.695324,4.5625
461,2134.747113,5.125
462,1990.401361,5.4375
463,1230.610356,4.625
464,1295.22374,7.25
465,1405.425559,7.5625
466,1032.305051,3.6875
467,1298.379309,3.75
468,1764.109443,6.8125
469,1907.191522,7.25
470,1310.672548,6.5
471,1133.201219,4.25
472,986.5722716,8.0625
473,751.9823836,9.875
474,695.3219378,7.8125
475,631.0030585,8.8125
476,2565.358692,5.375
477,2334.133914,5.5
478,1318.50389,5.5625
479,780.1498115,5.6875
480,558.3544959,7.6875
481,1460.373645,5.8125
